index,programming_languages,tools_and_technologies,soft_skills,years_experience_min,experience_level
40,"['JavaScript', 'Python', 'Shell', 'Other']","['Other', 'Software Development', 'Networking', 'Mobile Development']","['Understanding of SQA methodologies', 'Bug detection and regression skills', 'Ability to lead functional areas', 'Ability to deliver to tight schedules', 'Ability to explain technical concepts to a non-technical audience', 'Self-motivation', 'Flexibility', 'Creative problem solving']",,not specified
41,"['JavaScript', 'PHP', 'Other']","['Web Development', 'Data Analytics', 'Database Management', 'Other']","['Ability to work independently', 'Commitment to high-quality code', 'Willingness to learn new technologies', 'Ability to brainstorm and communicate']",10.0,senior
42,"['Swift', 'Other']","['Software Development', 'Database Management', 'Other']",['Shipping software on tight schedules'],3.0,mid
43,"['JavaScript', 'TypeScript', 'Other']","['Web Development', 'Database Management']","['Analytical skills', 'Problem solving', 'Troubleshooting', 'Verbal communication', 'Written communication']",,not specified
44,"['Python', 'Shell', 'Go', 'C++', 'Other']","['DevOps', 'Cloud Computing', 'Software Development', 'Networking', 'Other']","['Analyzing performance', 'Optimizing performance', 'Software architecture', 'Deployment', 'Maintenance']",,not specified
45,"['C++', 'Other']","['Mobile Development', 'Other']","['Excellent communication and collaborative skills', 'Excellent judgment and integrity', 'Creativity', 'Time management', 'Adaptability', 'Positive attitude', 'Writing and interpersonal skills']",,not specified
46,"['Swift', 'Other']","['Other', 'Mobile Development']","['Analytical skills', 'Problem-solving', 'Communication', 'Collaboration', 'Passion for building software']",,senior
47,[],"['Software Development', 'AR/VR (Augmented Reality/Virtual Reality)', 'Other']","['Strong written and verbal communication', 'Collaboration']",,not specified
48,['Python'],"['Software Development', 'Networking', 'Other']",[],3.0,mid
49,['Java'],"['Database Management', 'Cloud Computing', 'Software Development', 'Web Development', 'Other']","['communication', 'presentation', 'interpersonal', 'organizational', 'mentorship']",4.0,senior
50,"['C++', 'Other']","['Software Development', 'Other']",[],5.0,senior
51,"['Swift', 'Other']","['Mobile Development', 'Other']","['Critical thinking', 'Attention to details', 'Willingness to learn', 'Mentoring', 'Collaboration']",,senior
52,"['C++', 'Other']","['Web Development', 'Cybersecurity']","['Analysis', 'Problem solving', 'Troubleshooting', 'Verbal communication', 'Written communication']",10.0,senior
53,"['Swift', 'Other']","['Cloud Computing', 'Software Development', 'Cybersecurity']","['Problem solving', 'Analytical thinking', 'Collaboration', 'Customer focus']",4.0,senior
54,['Other'],['Web Development'],"['Clear writing', 'Collaboration', 'Self-motivated', 'Creative thinking', 'Critical thinking', 'Teamwork']",2.0,not specified
55,['Other'],"['Software Development', 'Other']","['Creative thinking', 'Problem solving', 'Motivation', 'Organization', 'English communication']",,not specified
56,"['Shell', 'Python', 'C++', 'Java']",['Networking'],"['Project management', 'Attention to detail', 'Problem-solving', 'Communication', 'Leadership', 'Flexibility', 'Quick learning']",8.0,senior
57,"['Python', 'C++', 'Perl', 'Other']","['DevOps', 'Software Development', 'Other']","['system integration', 'debugging', 'version control', 'branching and merging', 'automated build', 'continuous integration', 'test automation', 'audio software development']",3.0,mid
58,"['Other', 'C++', 'Java']","['Software Development', 'Database Management', 'Other']","['Analytical and problem-solving skills', 'Written and interpersonal skills', 'Aptitude to learn new technologies', 'Leadership', 'User-focused mindset', 'Ability to drive projects']",,not specified
59,"['Swift', 'Other']","['Software Development', 'Database Management', 'Other']",['Ability to work under tight schedules'],3.0,mid
60,['Java'],"['Web Development', 'Data Analytics']","['analytical skills', 'critical thinking', 'interpersonal skills', 'process improvement', 'communication skills', 'teamwork', 'leadership', 'time management', 'mentoring']",5.0,senior
61,"['Swift', 'C++', 'Python', 'Other']","['Other', 'Software Development', 'Networking', 'Mobile Development']","['Innovative Problem Solving', 'Cross-Functional Teamwork', 'Communication Skills', 'Multi-Project Management']",,not specified
62,['Python'],"['Data Analytics', 'Database Management', 'Other']","['Spatial data evaluation', 'Data model conformance', 'Fundamental mapping principles']",5.0,senior
63,['Python'],['DevOps'],"['Ability to think creatively', 'Strong attention to detail', 'Comfortable and adaptable in a fast-paced environment']",,not specified
64,"['JavaScript', 'Swift', 'Other']","['Web Development', 'Software Development', 'Database Management', 'Other']","['Excellent verbal and written communication skills', 'Attention to detail', 'Ability to multitask and manage priorities', 'Willingness to learn new technologies', 'Ability to work independently with minimal supervision']",3.0,mid
65,[],[],"['Analytical skills', 'Detail oriented', 'Communication', 'Interpersonal skills', 'Self learner', 'Team player']",,not specified
66,['Java'],"['DevOps', 'Database Management', 'Cloud Computing', 'Web Development', 'Other']","['Evaluating and defining requirements', 'Problem-solving', 'Technical documentation', 'Diagramming', 'Flowcharting']",,not specified
67,['Java'],"['Web Development', 'Software Development', 'Database Management', 'Other']","['Sharp troubleshooting skills', 'Client-facing communication', 'Rapid development cycles']",,senior
68,"['JavaScript', 'Python']","['AR/VR (Augmented Reality/Virtual Reality)', 'Other']","['Strong written and verbal communication', 'Presentation skills', 'Creative thinking', 'Problem solving', 'Ability to work under pressure', 'Adaptability']",5.0,senior
69,"['Perl', 'Python', 'Go', 'C++', 'Other']","['Software Development', 'Networking', 'Other']","['Ability to work independently', 'Teamwork', 'Excellent communication skills', 'Creative analytical skills']",8.0,senior
70,"['C++', 'Other']","['DevOps', 'Database Management', 'Software Development', 'Web Development', 'Other']","['collaboration', 'working under pressure']",3.0,not specified
71,"['C++', 'Other']","['Web Development', 'Software Development']","['Communication', 'Collaboration', 'Attention to detail']",2.0,mid
72,"['Perl', 'Shell', 'Python', 'Swift', 'C++', 'Other']","['Internet of Things (IoT)', 'Software Development', 'Other']","['Collaboration', 'Debugging', 'Reading schematics', 'Understanding EE fundamentals']",5.0,senior
73,"['C++', 'C#']","['Software Development', 'Database Management', 'Other']","['Object-oriented development and design', 'Feature design', 'Project completion', 'Verbal and written communication']",,not specified
74,"['JavaScript', 'Python', 'Perl']","['Mobile Development', 'Other']","['Problem Solving', 'Collaboration', 'Communication', 'Risk Assessment']",5.0,senior
75,"['Swift', 'Other']",['Other'],"['Problem solving', 'Critical thinking', 'Effective communication', 'Attention to detail', 'Responsibility']",,not specified
76,['Java'],"['Web Development', 'Database Management', 'Software Development', 'Networking']","['thrives in a dynamic work environment', 'collaborative work']",5.0,senior
77,['Other'],"['Mobile Development', 'Other']","['Communication', 'Attention to detail', 'Collaboration']",,mid
78,"['Other', 'C++', 'Java']","['Database Management', 'Other']","['Analytical skills', 'Problem solving', 'Written skills', 'Interpersonal skills', 'Ability to learn independently', 'Leadership', 'User-focused mindset', 'Teamwork']",,not specified
79,"['Python', 'Shell', 'Perl', 'Ruby', 'Other']","['Software Development', 'Other']","['Excellent communication skills', 'Organizational skills', 'Detail oriented', 'Ability to work independently', 'Proactive', 'Teamwork']",,not specified
80,"['JavaScript', 'PHP', 'Other']","['Web Development', 'Software Development', 'Database Management']","['Problem solving', 'Effective communication', 'Relationship building']",,not specified
81,[],"['Mobile Development', 'Software Development', 'Database Management', 'Other']","['Analytical skills', 'Problem solving', 'Creative thinking', 'Verbal and written communication', 'User-focused design', 'Team leadership', 'Adaptability']",,not specified
82,['Java'],"['Web Development', 'Database Management', 'Software Development', 'Networking']",[],5.0,senior
83,"['Python', 'Shell', 'Other', 'Java']","['Web Development', 'Human-Computer Interaction', 'Software Development', 'Database Management']","['Problem Solving', 'Motivation', 'Teamwork', 'Independence', 'Accountability', 'Innovation', 'Excellence']",5.0,mid
84,['Java'],"['Web Development', 'Data Analytics', 'Networking', 'Other']","['Analytical skills', 'Critical thinking', 'Interpersonal skills', 'Communication skills', 'Teamwork', 'Leadership', 'Time management', 'Mentoring', 'Process improvement', 'Attention to detail']",,senior
85,"['C++', 'Other']","['Software Development', 'Other']","['collaboration', 'communication', 'ability to deliver on tight schedules']",,not specified
86,[],"['DevOps', 'Cloud Computing', 'Cybersecurity', 'Software Development', 'Web Development']","['Collaboration', 'Curiosity', 'User experience sensitivity', 'Eagerness to learn']",,not specified
87,"['C++', 'Other']","['Cloud Computing', 'Software Development', 'Networking', 'Other']","['Problem-solving', 'Debugging', 'Collaboration', 'Communication']",10.0,senior
88,"['Python', 'C++']",['Machine Learning/Artificial Intelligence'],"['Problem solving', 'Debugging', 'Effective communication']",,senior
89,['Other'],[],"['communication', 'collaboration', 'product excellence']",5.0,senior
90,"['C++', 'Other']",['Other'],"['Strong communication', 'Ability to collaborate under pressure']",3.0,not specified
91,[],"['Networking', 'Other']","['Leadership', 'Communication', 'Self-starter', 'Visionary', 'Collaboration']",4.0,mid
92,"['Python', 'Shell', 'Perl', 'Java']","['DevOps', 'Database Management', 'Cybersecurity', 'Web Development', 'Networking']",[],,not specified
93,"['Python', 'Shell', 'Swift', 'C++', 'Other']","['DevOps', 'Software Development', 'Mobile Development', 'Other']","['Creative thinking', 'Problem solving', 'Flexibility', 'Communication skills']",,not specified
94,"['C++', 'Other']",['Software Development'],"['interpersonal skills', 'collaboration', 'creativity', 'problem solving', 'attention to detail']",,not specified
95,"['Python', 'C++']","['Web Development', 'Software Development']","['Creative Thinking', 'Critical Thinking', 'Independent Thinking', 'Troubleshooting', 'Analytical Skills', 'Communication Skills']",5.0,senior
96,"['Other', 'C++', 'Java']","['Software Development', 'Database Management', 'Other']","['Analytical skills', 'Problem solving', 'Written communication', 'Interpersonal communication', 'Aptitude for learning', 'Project leadership', 'User-focused mindset', 'Team collaboration']",,not specified
97,['Other'],[],"['communication', 'collaboration', 'team leadership', 'learning agility']",5.0,senior
98,"['Other', 'Scala', 'Java']","['DevOps', 'Database Management', 'Machine Learning/Artificial Intelligence', 'Software Development', 'Web Development', 'Other']","['Collaboration', 'Organizational skills', 'Written and verbal communication', 'Self-motivation', 'Independence', 'Adaptability to context switching']",4.0,senior
99,"['Python', 'C++', 'Other']",['Other'],"['Creative thinking', 'Critical thinking', 'Independent thinking', 'Troubleshooting skills', 'Analytical skills', 'Social skills']",3.0,mid
100,['C++'],"['Internet of Things (IoT)', 'Machine Learning/Artificial Intelligence', 'AR/VR (Augmented Reality/Virtual Reality)', 'Other']","['effective communication', 'attention to detail']",3.0,mid
101,"['Swift', 'Other']","['Other', 'Mobile Development']","['User Experience Design', 'Documentation']",,not specified
102,"['Swift', 'Other']","['Mobile Development', 'Other']","['Analytical and problem-solving skills', 'Written and verbal interpersonal skills', 'Ability to thrive in a multi-functional team']",,not specified
103,"['Python', 'C++', 'Java']","['Data Analytics', 'Machine Learning/Artificial Intelligence', 'Database Management']","['Excellent writing', 'Interpersonal skills', 'Attention to detail', 'Adaptability', 'Results oriented', 'Passion and dedication']",,not specified
104,[],[],"['Customer Focused', 'Cross-functional communication', 'Influencing', 'Team Building', 'Motivation', 'Flexibility', 'Technical Agility', 'Executive Presence']",5.0,senior
105,['JavaScript'],[],"['Problem-solving', 'Teamwork', 'Adaptability', 'Positive attitude', 'Independence']",,not specified
106,[],"['Other', 'Software Development', 'Mobile Development']","['Creative thinking', 'Problem solving', 'Strong communication skills', 'Attention to detail', 'Adaptability']",,not specified
107,"['Python', 'Shell', 'Perl']",['Software Development'],"['Customer-focused', 'Quick learner', 'Adaptability', 'Solid debugging', 'Excellent communication', 'Detail oriented', 'Data-driven decision making']",,not specified
108,"['JavaScript', 'Python', 'Java']","['Data Analytics', 'DevOps', 'Database Management', 'Software Development', 'Web Development', 'Other']",[],10.0,senior
109,['Java'],"['Data Analytics', 'Other']","['Analytical skills', 'Critical thinking', 'Interpersonal skills', 'Process improvement', 'Communication skills', 'Teamwork', 'Leadership', 'Time management', 'Mentoring']",,senior
110,"['Ruby', 'Python', 'Swift', 'JavaScript']","['Software Development', 'Other']","['Analytical thinking', 'Communication', 'Problem-solving', 'Innovation']",3.0,not specified
111,"['C++', 'Other']","['Software Development', 'Other']","['creative thinking', 'critical thinking', 'troubleshooting']",7.0,senior
112,"['Python', 'C++']",['Machine Learning/Artificial Intelligence'],"['Problem Solving', 'Debugging', 'Communication']",,not specified
113,"['JavaScript', 'Python', 'Swift', 'Ruby', 'C++', 'Other']","['DevOps', 'Other']","['ability to own a functional area', 'problem-solving', 'cross-functional teamwork', 'communication with non-technical audience', 'detail-oriented']",3.0,mid
114,"['JavaScript', 'TypeScript', 'C++']",['Web Development'],"['Analytical skills', 'Problem solving', 'Troubleshooting', 'Verbal communication', 'Written communication']",,not specified
115,"['C++', 'Other']","['Web Development', 'Software Development', 'AR/VR (Augmented Reality/Virtual Reality)', 'Other']","['software development', 'debugging', 'communication', 'reciprocal skills', 'object-oriented design']",6.0,senior
116,"['C++', 'C#']","['Software Development', 'Database Management', 'Other']","['Verbal communication', 'Written communication', 'Project management']",,not specified
117,"['Python', 'Swift', 'Java']","['Other', 'Cloud Computing', 'Mobile Development']","['analytical and problem solving', 'critical thinking', 'teamwork', 'leadership', 'time management', 'mentoring', 'communication']",6.0,senior
118,"['Python', 'Shell', 'Perl', 'Ruby', 'C++', 'Other']","['Software Development', 'Other']","['communication', 'organization', 'independence', 'proactivity', 'attention to detail', 'cross-functional collaboration']",,not specified
119,"['Python', 'Shell', 'Swift', 'C++', 'Other']","['DevOps', 'Software Development', 'Mobile Development', 'Other']","['Creative thinking', 'Problem solving', 'Flexibility', 'Excellent communication', 'Collaboration']",,not specified
120,['Other'],['Software Development'],"['Complex debugging', 'Testing methodologies', 'Testing technologies', 'Integration skills']",,not specified
121,"['Python', 'C++', 'Other']","['Cybersecurity', 'Software Development', 'Networking', 'Other']",['Excellent verbal and written communication'],3.0,mid
122,"['C++', 'Other']","['Software Development', 'Networking', 'Other']","['collaborative work', 'clear communication', 'attention to detail', 'project management']",2.0,mid
123,['C++'],['Internet of Things (IoT)'],"['Effective communication skills', 'Written and verbal skills', 'Attention to detail']",3.0,mid
124,"['Shell', 'Python', 'C++', 'Java']","['Data Analytics', 'Software Development', 'Networking', 'Other']","['Project management', 'Attention to detail', 'Communication skills', 'Leadership', 'Problem-solving', 'Adaptability', 'Self-starter', 'Visionary']",8.0,senior
125,"['Other', 'C++', 'Java']","['Database Management', 'Other']","['Analytical and problem solving', 'Written and interpersonal', 'Leadership', 'Creative mindset', 'Team collaboration']",,senior
126,"['Python', 'Java']","['Data Analytics', 'Database Management']","['communication', 'cross-functional collaboration', 'technical writing', 'problem-solving', 'training', 'self-starting', 'integrity', 'attention to detail']",10.0,senior
127,"['C++', 'Other']","['Machine Learning/Artificial Intelligence', 'Software Development', 'AR/VR (Augmented Reality/Virtual Reality)', 'Other']","['Creative Thinking', 'Critical Thinking', 'Independent Thinking', 'Troubleshooting', 'Analytical Skills', 'Communication Skills']",3.0,mid
128,[],[],"['collaboration', 'design thinking', 'user experience design', 'flexibility', 'adaptability', 'team engagement', 'motivated learning', 'self-improvement', 'time management']",,not specified
129,[],"['Software Development', 'Other']","['passion for great products', 'excellent written communication', 'spoken communication', 'presentation abilities', 'cross-functional collaboration']",,senior
130,"['Java', 'Perl', 'Shell', 'Python', 'Other']","['Cybersecurity', 'Software Development', 'Other']","['Passionate and self-motivated', 'Excellent verbal/written communication skills', 'Willingness to take a lead']",,not specified
131,"['Swift', 'Other']","['Data Analytics', 'Machine Learning/Artificial Intelligence']","['Passion for quality and attention to detail', 'Aptitude to independently learn new technologies', 'Excellent oral and written communication skills']",,not specified
132,"['JavaScript', 'PHP', 'Other']","['Web Development', 'Software Development', 'Database Management']","['Problem solving', 'Effective communication', 'Relationship building', 'Organizational skills']",,not specified
133,"['JavaScript', 'Python', 'C++', 'Other']","['Other', 'Software Development', 'Networking', 'Mobile Development']","['team collaboration', 'communication', 'problem isolation', 'documenting test plans', 'analyzing software issues', 'judgment and integrity', 'writing skills', 'interpersonal skills']",,mid
134,"['Python', 'Swift', 'C++', 'Other']","['Software Development', 'Other']","['Innovative thinking', 'Collaboration', 'Attention to detail', 'Problem-solving', 'Passion and curiosity']",,not specified
135,[],[],"['analytical skills', 'attention to detail', 'communication', 'interpersonal skills', 'self learning', 'teamwork']",,not specified
136,[],[],"['Collaboration', 'Communication', 'Interpersonal skills', 'Organizational skills', 'Problem solving', 'Ability to work in a fast-paced environment']",,not specified
137,"['C++', 'Other']",['Software Development'],"['Problem solving', 'Critical thinking', 'Communication']",,not specified
138,['C++'],"['Internet of Things (IoT)', 'Machine Learning/Artificial Intelligence', 'AR/VR (Augmented Reality/Virtual Reality)', 'Other']","['effective communication', 'attention to detail']",3.0,mid
139,"['JavaScript', 'Swift', 'Java', 'Other']","['Other', 'Mobile Development']","['Excellent quantitative skills', 'Interpersonal skills', 'Leadership experience']",,not specified
140,"['Python', 'C++', 'Perl', 'Other']","['Software Development', 'Other']","['creative thinking', 'critical thinking', 'troubleshooting', 'collaboration', 'communication', 'ability to work under tight schedules']",,not specified
141,"['Python', 'Other']","['DevOps', 'Software Development']","['Ability to work independently', 'Teamwork', 'Excellent written skills', 'Social skills', 'Creative analytical skills']",3.0,mid
142,"['Swift', 'C++', 'Python', 'Other']","['Other', 'Software Development', 'Mobile Development']",[],,not specified
143,['Java'],"['Web Development', 'Database Management', 'Other']","['Problem solving', 'Debugging', 'Team collaboration', 'Time management', 'Self-directed learning', 'Analytical skills', 'Written communication', 'Oral communication']",5.0,senior
144,"['Other', 'Java']","['Web Development', 'Software Development', 'Database Management', 'Other']","['passion for technology', 'life-long learning', 'finding the right tool for the job']",5.0,mid
145,"['C++', 'Other']","['Internet of Things (IoT)', 'Networking', 'Other']","['problem-solving', 'attention to detail', 'communication', 'documentation']",5.0,senior
146,['C++'],"['Web Development', 'Software Development', 'Other']","['Excellent social skills', 'Collaborative focus', 'Passionate about quality', 'Attention to detail']",,not specified
147,"['Python', 'C++', 'Java']","['Web Development', 'Cloud Computing']","['analytical problem solving', 'creative problem solving', 'team collaboration', 'communication']",5.0,senior
148,"['Other', 'C++', 'Java']","['Web Development', 'Software Development']","['Quick learner', 'Teamwork', 'Collaboration', 'High quality software development']",5.0,senior
149,"['Python', 'Other']",['Other'],"['Highly motivated', 'Creative', 'Organized', 'Strong verbal communication skills', 'Strong written communication skills', 'Proven ability to learn quickly']",,not specified
150,['Other'],"['Cybersecurity', 'Software Development', 'Other']","['Software development', 'Debugging', 'Creative thinking', 'Critical thinking', 'Troubleshooting', 'Collaboration', 'Written communication', 'Verbal communication', 'Ambition']",,not specified
151,"['Swift', 'C++', 'Other']","['Other', 'Mobile Development']",['Ability to work collaboratively'],,not specified
152,"['JavaScript', 'Python', 'Perl', 'Go', 'C++', 'Other']","['Networking', 'Software Development', 'Mobile Development', 'Other']","['Excellent software development skills', 'Excellent understanding of networking frameworks', 'Hands-on coding expertise', 'Consumer product development experience', 'Domestic and international travel willingness']",3.0,mid
153,['Java'],"['Web Development', 'Other']","['problem solving', 'critical thinking', 'communication']",,senior
154,['Other'],[],"['Excellent communication skills', 'Collaboration', 'Creativity', 'Enthusiasm for design']",,not specified
155,"['C++', 'Other']","['Internet of Things (IoT)', 'Networking', 'Other']","['Obsessively passionate and inquisitive', 'Focus on solving everyday problems in innovative ways', 'Attention to detail', 'Excellent communication', 'Documentation skills']",5.0,senior
156,['Java'],"['Networking', 'Database Management', 'Other']","['Business context understanding', 'Technical communication', 'Design and code review', 'Cross-functional communication', 'Trade-off decision making', 'Team representation', 'Mentoring and performance management', 'Executive communication', 'Continuous learning']",,senior
157,"['Python', 'C++', 'Other']",[],[],,not specified
158,[],[],"['investigation and debugging', 'creativity', 'problem-solving', 'attention to detail', 'user-focused design', 'adaptability', 'communication', 'organization', 'motivation']",,not specified
159,"['JavaScript', 'Java', 'Swift', 'Python', 'Other']","['Other', 'Software Development', 'Mobile Development']","['Excellent written and verbal communication', 'Collaborative working']",3.0,mid
160,['Other'],"['Software Development', 'Other']",[],,not specified
161,"['Python', 'C++']","['Software Development', 'Other']","['hands-on', 'eager', 'curious', 'love learning', 'enjoy challenges']",3.0,senior
162,"['C++', 'Other']","['Machine Learning/Artificial Intelligence', 'Software Development', 'Other']","['Excellent communication', 'Collaboration', 'Curiosity', 'Problem-solving', 'Passionate']",,senior
163,['Java'],"['Web Development', 'Software Development']","['problem solving', 'critical thinking', 'communication']",,not specified
164,"['Swift', 'C++']","['Mobile Development', 'Other']","['Problem solving', 'Communication', 'UI/UX design']",3.0,mid
165,"['Other', 'Java']","['Database Management', 'Cybersecurity', 'Software Development', 'Web Development', 'Other']","['Innovative Thinking', 'Creative Thinking', 'Troubleshooting']",,senior
166,['Other'],"['DevOps', 'Software Development', 'Other']",[],5.0,senior
167,['Other'],"['Cloud Computing', 'Software Development', 'Other']","['Ambitious', 'Responsible', 'Passionate', 'Good communication in English and Mandarin', 'Team player', 'Willing to travel']",,not specified
168,['Other'],"['Web Development', 'Software Development', 'Other']","['Analyzing and debugging', 'Motivated', 'Self-directed', 'Quick learner', 'Team player', 'Communication skills', 'Fluent English']",3.0,mid
169,"['Python', 'R']","['Data Analytics', 'Database Management']","['Designing analytic solutions', 'Building relationships across teams', 'Communicating technical content', 'Communicating analytical insights']",2.0,mid
