index,programming_languages,tools_and_technologies,soft_skills,years_experience_min,experience_level
24,"[""Java"", ""JavaScript"", ""SQL""]","[""AngularJS"", ""Bootstrap"", ""jQuery"", ""HTML DOM"", ""HTML5"", ""CSS3"", ""JSON"", ""AJAX"", ""HTTP"", ""REST"", ""Spring"", ""Hibernate"", ""Log4J"", ""Oracle"", ""Tomcat""]","[""Architecture design"", ""Secure coding practices""]",7.0,senior
25,"[""C"", ""C++""]","[""system level graphics"", ""display infrastructure"", ""operating system display infrastructure"", ""system architecture""]","[""problem solving"", ""debugging""]",3.0,not specified
26,"[""Objective-C"", ""C""]","[""iOS"", ""macOS"", ""security"", ""cryptography""]","[""collaborative skills"", ""written and verbal interpersonal skills"", ""creative and critical thinking"", ""troubleshooting skills""]",,senior
27,"[""C++"", ""Python""]","[""Unix"", ""APIs""]","[""Creative thinking"", ""Critical thinking"", ""Independent thinking"", ""Troubleshooting"", ""Analytical skills"", ""Social skills""]",5.0,senior
28,"[""C"", ""C++""]","[""Drivers"", ""Frameworks"", ""Kernel"", ""Userspace""]","[""Excellent debugging skills"", ""Strong verbal and written communications"", ""Self-directed"", ""Analytical"", ""Teamwork""]",2.0,mid
29,"[""C++"", ""Go"", ""Python""]","[""Netlink"", ""WMI"", ""Big data frameworks"", ""API Integration"", ""REST"", ""SOAP"", ""RPC"", ""JSON"", ""Ansible"", ""Chef"", ""Puppet"", ""Network protocols"", ""Linux/Unix"", ""TCP"", ""TLS"", ""HTTP"", ""UDP"", ""Open source projects""]","[""Solution specification writing"", ""Diagram creation"", ""Documentation"", ""Operating procedures"", ""Test plans/reports"", ""Communication"", ""Collaboration"", ""Adaptability"", ""Results orientation"", ""Positive attitude""]",5.0,senior
30,"[""C"", ""C++"", ""C#"", ""Objective-C""]","[""Unity"", ""Unreal Engine 4"", ""Agile software development""]","[""Passion for design"", ""User experience"", ""Actioning user and designer feedback"", ""Strong communication"", ""Teamwork"", ""Ability to master new applications quickly"", ""Collaborative working environment"", ""Attention to detail""]",3.0,mid
31,"[""Python""]","[""Selenium"", ""AWS"", ""Rest API""]","[""Excellent communication"", ""Social skills"", ""Problem-solving"", ""Adaptability"", ""Task prioritization"", ""Calmness under pressure"", ""Integrity"", ""Creativity"", ""Focus"", ""Positive attitude"", ""Dedication""]",5.0,senior
32,"[""PHP"", ""Javascript"", ""HTML"", ""CSS""]","[""LAMP"", ""SQL"", ""MVC"", ""Agile methodologies"", ""SCRUM""]","[""Strong problem solving"", ""Effective communication"", ""Relationship building""]",,not specified
33,"[""C"", ""C++"", ""Objective-C"", ""Swift""]","[""Agile methodologies"", ""App development"", ""Framework development""]","[""Strong communication"", ""Ability to thrive in an agile environment""]",3.0,mid
34,"[""Java"", ""C"", ""C++""]","[""SQL"", ""NoSQL"", ""Cassandra"", ""HBase"", ""Linux"", ""Multithreaded programming"", ""Event-driven programming""]","[""Analytical and problem solving"", ""Written communication"", ""Interpersonal communication"", ""Independent learning"", ""Leadership"", ""User-focused mindset"", ""Team collaboration""]",,senior
35,"[""Python"", ""JavaScript"", ""C"", ""C++""]","[""Full-stack web development"", ""Modern web frameworks"", ""SQL"", ""NoSQL"", ""Network stack"", ""DevOps"", ""Digital logic"", ""Verilog"", ""System-Verilog"", ""Simulation""]",[],,not specified
36,"[""Python"", ""C"", ""C++""]","[""Numpy"", ""Scikit"", ""Panda"", ""AWS"", ""SQL"", ""Databases"", ""Big Data""]","[""Creative Thinking"", ""Critical Thinking"", ""Independent Thinking"", ""Troubleshooting"", ""Analytical Skills"", ""Communication Skills""]",3.0,mid
37,"[""Objective-C"", ""Swift"", ""C"", ""C++"", ""Python"", ""Javascript"", ""Perl""]","[""Cocoa"", ""Cocoa Touch"", ""Foundation"", ""AppKit"", ""UIKit"", ""Git"", ""Github"", ""Gitlab""]","[""collaborative mindset"", ""analytical skills"", ""problem-solving"", ""debugging"", ""creativity"", ""effective interpersonal and communication skills""]",3.0,mid
38,"[""C""]","[""ARM"", ""Real-time multithreaded programming"", ""Media capture or playback pipeline"", ""DRM methods"", ""Protected content playback""]","[""Excellent verbal and written communication"", ""Judgment and integrity"", ""Ability to make timely decisions"", ""Focus and prioritization"", ""Adaptability"", ""Results-oriented"", ""Positive attitude""]",5.0,senior
39,"[""Objective-C"", ""Swift"", ""JavaScript""]","[""Foundation framework"", ""UIKit framework"", ""Xcode"", ""REST APIs"", ""AVFoundation"", ""AudioToolbox"", ""PHP"", ""Ruby on Rails"", ""MySQL"", ""Postgres"", ""Ember.js"", ""React"", ""Angular"", ""Git""]","[""Fluent English"", ""Attention to detail"", ""Excellent verbal and written communication skills"", ""Multitasking"", ""Managing priorities"", ""Willingness to learn new technologies"", ""Ability to work independently""]",3.0,mid
40,"[""JavaScript"", ""Python"", ""SQL"", ""Shell scripting""]","[""iOS"", ""tvOS"", ""macOS"", ""watchOS"", ""CharlesProxy"", ""network monitoring tools"", ""command line"", ""QA automation""]","[""Understanding of SQA methodologies"", ""Bug detection and regression skills"", ""Ability to lead functional areas"", ""Ability to deliver to tight schedules"", ""Ability to explain technical concepts to a non-technical audience"", ""Self-motivation"", ""Flexibility"", ""Creative problem solving""]",,not specified
41,"[""HTML"", ""CSS"", ""JavaScript"", ""PHP""]","[""LAMP"", ""AngularJS"", ""Node.js"", ""Git"", ""Symfony"", ""CodeIgnitor"", ""SQL"", ""NoSQL"", ""Big Data""]","[""Ability to work independently"", ""Commitment to high-quality code"", ""Willingness to learn new technologies"", ""Ability to brainstorm and communicate""]",10.0,senior
42,"[""C"", ""Objective-C"", ""Swift""]","[""Database performance"", ""Parallelism"", ""Event-based programming"", ""Inter-process communication""]","[""Shipping software on tight schedules""]",3.0,mid
43,"[""HTML"", ""CSS"", ""JavaScript"", ""TypeScript""]","[""Angular"", ""React"", ""Node.js"", ""Database Architecture""]","[""Analytical skills"", ""Problem solving"", ""Troubleshooting"", ""Verbal communication"", ""Written communication""]",,not specified
44,"[""C"", ""C++"", ""Go"", ""Python"", ""shell scripting""]","[""Docker"", ""KVM"", ""LXC"", ""virtualization"", ""containerization"", ""distributed system architectures"", ""networking"", ""Linux kernel"", ""GPU hardware and drivers""]","[""Analyzing performance"", ""Optimizing performance"", ""Software architecture"", ""Deployment"", ""Maintenance""]",,not specified
45,"[""Objective-C"", ""C"", ""C++""]","[""macOS"", ""iOS""]","[""Excellent communication and collaborative skills"", ""Excellent judgment and integrity"", ""Creativity"", ""Time management"", ""Adaptability"", ""Positive attitude"", ""Writing and interpersonal skills""]",,not specified
46,"[""Objective-C"", ""Swift""]","[""iOS"", ""macOS""]","[""Analytical skills"", ""Problem-solving"", ""Communication"", ""Collaboration"", ""Passion for building software""]",,senior
47,[],"[""2D/3D graphics"", ""GUI application development"", ""high bandwidth real-time data""]","[""Strong written and verbal communication"", ""Collaboration""]",,not specified
48,"[""Python""]","[""Data communication"", ""Wireless protocols"", ""Linux"", ""OS X"", ""Unix"", ""RF testing equipment"", ""Network testing equipment"", ""Automation development""]",[],3.0,mid
49,"[""Java"", ""J2EE""]","[""Agile/SCRUM"", ""Kafka"", ""REST"", ""SOAP"", ""Microservices"", ""RDBMS"", ""MongoDB"", ""Cassandra""]","[""communication"", ""presentation"", ""interpersonal"", ""organizational"", ""mentorship""]",4.0,senior
50,"[""C++"", ""scripting languages""]","[""Object-oriented programming"", ""SW design"", ""Multi-threaded development"", ""Unix/Linux"", ""shell scripts"", ""make files""]",[],5.0,senior
51,"[""Swift"", ""Objective-C""]","[""UIKit"", ""iOS SDK"", ""Core Data""]","[""Critical thinking"", ""Attention to details"", ""Willingness to learn"", ""Mentoring"", ""Collaboration""]",,senior
52,"[""C"", ""C++""]","[""REST API"", ""Web services"", ""Security frameworks"", ""Authentication and Authorization"", ""Encryption"", ""oAuth"", ""SAML""]","[""Analysis"", ""Problem solving"", ""Troubleshooting"", ""Verbal communication"", ""Written communication""]",10.0,senior
53,"[""Swift"", ""Objective-C""]","[""Cloud applications"", ""Client/server architecture"", ""Mutual authentication"", ""Attestation"", ""Encryption algorithms""]","[""Problem solving"", ""Analytical thinking"", ""Collaboration"", ""Customer focus""]",4.0,senior
54,"[""Not specified""]","[""API Development""]","[""Clear writing"", ""Collaboration"", ""Self-motivated"", ""Creative thinking"", ""Critical thinking"", ""Teamwork""]",2.0,not specified
55,"[""Object-oriented programming language (e.g., Java, C++, C#)""]","[""Data structures"", ""Algorithms"", ""Test methodology""]","[""Creative thinking"", ""Problem solving"", ""Motivation"", ""Organization"", ""English communication""]",,not specified
56,"[""Java"", ""C/C++"", ""Python"", ""Bash""]","[""Networking protocols (BGP, MPLS)"", ""Netflow"", ""SNMP""]","[""Project management"", ""Attention to detail"", ""Problem-solving"", ""Communication"", ""Leadership"", ""Flexibility"", ""Quick learning""]",8.0,senior
57,"[""C"", ""C++"", ""Objective-C"", ""Python"", ""Perl""]","[""git"", ""svn"", ""LLVM"", ""Xcode"", ""gnu make"", ""Jenkins"", ""shell scripting"", ""Mac development tools"", ""Unix development tools""]","[""system integration"", ""debugging"", ""version control"", ""branching and merging"", ""automated build"", ""continuous integration"", ""test automation"", ""audio software development""]",3.0,mid
58,"[""Java"", ""C"", ""C++""]","[""SQL"", ""NoSQL"", ""Cassandra"", ""HBase"", ""Linux"", ""Multithreaded programming"", ""Event-driven programming""]","[""Analytical and problem-solving skills"", ""Written and interpersonal skills"", ""Aptitude to learn new technologies"", ""Leadership"", ""User-focused mindset"", ""Ability to drive projects""]",,not specified
59,"[""C"", ""Objective-C"", ""Swift""]","[""Database performance"", ""Parallelism"", ""Event-based programming"", ""Inter-process communication""]","[""Ability to work under tight schedules""]",3.0,mid
60,"[""Java""]","[""Hadoop"", ""Apache Spark"", ""REST APIs""]","[""analytical skills"", ""critical thinking"", ""interpersonal skills"", ""process improvement"", ""communication skills"", ""teamwork"", ""leadership"", ""time management"", ""mentoring""]",5.0,senior
61,"[""C"", ""C++"", ""Objective-C"", ""Swift"", ""Python""]","[""Mobile Testing"", ""Cellular Technologies (LTE/UMTS/CDMA)"", ""Stress Testing"", ""Stability Testing""]","[""Innovative Problem Solving"", ""Cross-Functional Teamwork"", ""Communication Skills"", ""Multi-Project Management""]",,not specified
62,"[""Python""]","[""Shapely"", ""Pandas"", ""Numpy"", ""PySAL"", ""PostgreSQL"", ""PostGIS"", ""GDAL/OGR"", ""RDBMS"", ""ArcSDE"", ""Geodatabases""]","[""Spatial data evaluation"", ""Data model conformance"", ""Fundamental mapping principles""]",5.0,senior
63,"[""Python""]","[""test automation environments""]","[""Ability to think creatively"", ""Strong attention to detail"", ""Comfortable and adaptable in a fast-paced environment""]",,not specified
64,"[""Swift"", ""Objective-C"", ""JavaScript""]","[""Foundation"", ""UIKit"", ""Xcode"", ""REST APIs"", ""AVFoundation"", ""AudioToolbox"", ""PHP"", ""Ruby on Rails"", ""MySQL"", ""Postgres"", ""Ember.js"", ""React"", ""Angular"", ""Git""]","[""Excellent verbal and written communication skills"", ""Attention to detail"", ""Ability to multitask and manage priorities"", ""Willingness to learn new technologies"", ""Ability to work independently with minimal supervision""]",3.0,mid
65,[],[],"[""Analytical skills"", ""Detail oriented"", ""Communication"", ""Interpersonal skills"", ""Self learner"", ""Team player""]",,not specified
66,"[""Java"", ""J2EE""]","[""Spring"", ""MVC framework"", ""RESTFUL services"", ""JAX-RS"", ""Git"", ""Mockito"", ""PowerMock"", ""Oracle"", ""Cassandra"", ""Distributed messaging systems"", ""Docker"", ""AWS"", ""Cloud technologies""]","[""Evaluating and defining requirements"", ""Problem-solving"", ""Technical documentation"", ""Diagramming"", ""Flowcharting""]",,not specified
67,"[""Java"", ""J2EE""]","[""WebServices"", ""Spring"", ""Hibernate"", ""Relational databases"", ""No-SQL databases"", ""Distributed cache"", ""MVC architectures"", ""Automated testing frameworks""]","[""Sharp troubleshooting skills"", ""Client-facing communication"", ""Rapid development cycles""]",,senior
68,"[""Python"", ""JavaScript""]","[""Nuke"", ""Maya"", ""Adobe CC Suite"", ""Unreal"", ""macOS""]","[""Strong written and verbal communication"", ""Presentation skills"", ""Creative thinking"", ""Problem solving"", ""Ability to work under pressure"", ""Adaptability""]",5.0,senior
69,"[""C"", ""C++"", ""Go"", ""Python"", ""Perl""]","[""UNIX (Linux and/or FreeBSD)"", ""IP/IPv6 networking"", ""DNS (servers and protocol)"", ""BGP Anycast"", ""Change management"", ""Configuration policies"", ""Monitoring tools""]","[""Ability to work independently"", ""Teamwork"", ""Excellent communication skills"", ""Creative analytical skills""]",8.0,senior
70,"[""C"", ""C++""]","[""Metal"", ""OpenGL"", ""OpenCL"", ""GPU APIs"", ""scripting"", ""continuous integration systems"", ""automated build systems"", ""regression systems"", ""web-based programming"", ""database systems""]","[""collaboration"", ""working under pressure""]",3.0,not specified
71,"[""C"", ""C++"", ""Objective-C""]","[""Multi-threaded programming"", ""API design"", ""System design""]","[""Communication"", ""Collaboration"", ""Attention to detail""]",2.0,mid
72,"[""C"", ""C++"", ""Perl"", ""Python"", ""Bash"", ""SWIFT""]","[""Qt"", ""MCUs (Cortex M4, MSP)"", ""Version control (Git)"", ""Oscilloscopes"", ""Logic analyzers"", ""On-chip debuggers""]","[""Collaboration"", ""Debugging"", ""Reading schematics"", ""Understanding EE fundamentals""]",5.0,senior
73,"[""C++"", ""C#""]","[""Windows"", ""WPF"", ""UWP"", ""DBMS""]","[""Object-oriented development and design"", ""Feature design"", ""Project completion"", ""Verbal and written communication""]",,not specified
74,"[""Python"", ""JavaScript"", ""Perl""]","[""Automated Software Tests"", ""Mobile Application Testing""]","[""Problem Solving"", ""Collaboration"", ""Communication"", ""Risk Assessment""]",5.0,senior
75,"[""Swift"", ""Objective-C""]","[""AVFoundation"", ""GCD"", ""Apple's APIs""]","[""Problem solving"", ""Critical thinking"", ""Effective communication"", ""Attention to detail"", ""Responsibility""]",,not specified
76,"[""Java""]","[""Client-Server protocol"", ""API design"", ""caching technologies"", ""key/value stores"", ""column stores""]","[""thrives in a dynamic work environment"", ""collaborative work""]",5.0,senior
77,"[""Objective-C""]","[""UIKit"", ""iOS SDK"", ""tvOS SDK"", ""GCD""]","[""Communication"", ""Attention to detail"", ""Collaboration""]",,mid
78,"[""Java"", ""C"", ""C++""]","[""SQL"", ""NoSQL"", ""Cassandra"", ""HBase"", ""Linux""]","[""Analytical skills"", ""Problem solving"", ""Written skills"", ""Interpersonal skills"", ""Ability to learn independently"", ""Leadership"", ""User-focused mindset"", ""Teamwork""]",,not specified
79,"[""Python"", ""Bash"", ""Ruby"", ""LUA"", ""Perl""]","[""Automation testing"", ""File Systems""]","[""Excellent communication skills"", ""Organizational skills"", ""Detail oriented"", ""Ability to work independently"", ""Proactive"", ""Teamwork""]",,not specified
80,"[""PHP"", ""JavaScript"", ""HTML"", ""CSS""]","[""LAMP"", ""SQL"", ""Object Oriented Programming"", ""MVC"", ""Agile methodologies"", ""SCRUM""]","[""Problem solving"", ""Effective communication"", ""Relationship building""]",,not specified
81,[],"[""MacOS"", ""iOS"", ""Windows"", ""SQL"", ""iTunes Store""]","[""Analytical skills"", ""Problem solving"", ""Creative thinking"", ""Verbal and written communication"", ""User-focused design"", ""Team leadership"", ""Adaptability""]",,not specified
82,"[""Java""]","[""Client-Server protocol"", ""API design"", ""caching technologies"", ""key/value stores"", ""column stores""]",[],5.0,senior
83,"[""Java"", ""Python"", ""Shell"", ""HTML""]","[""UI Design"", ""Database Management"", ""Installers"", ""WEB2.0""]","[""Problem Solving"", ""Motivation"", ""Teamwork"", ""Independence"", ""Accountability"", ""Innovation"", ""Excellence""]",5.0,mid
84,"[""Java""]","[""Spark"", ""HDFS"", ""Hive"", ""ORC"", ""Presto"", ""TCP"", ""Websockets"", ""Netty""]","[""Analytical skills"", ""Critical thinking"", ""Interpersonal skills"", ""Communication skills"", ""Teamwork"", ""Leadership"", ""Time management"", ""Mentoring"", ""Process improvement"", ""Attention to detail""]",,senior
85,"[""C"", ""C++""]","[""gdb"", ""lldb"", ""oscilloscopes"", ""logic analyzers"", ""device drivers"", ""USB"", ""UART"", ""SPI"", ""I2C"", ""PCIe"", ""MIPI"", ""HDMI"", ""DDR"", ""Bash"", ""Perl"", ""Python""]","[""collaboration"", ""communication"", ""ability to deliver on tight schedules""]",,not specified
86,[],"[""Automation tools"", ""Distributed systems"", ""Security concepts"", ""Design patterns"", ""APIs""]","[""Collaboration"", ""Curiosity"", ""User experience sensitivity"", ""Eagerness to learn""]",,not specified
87,"[""C"", ""C++""]","[""Compilers"", ""Build tools"", ""Source code control tools"", ""RTOS"", ""UARTs"", ""JTAG"", ""Oscilloscopes"", ""Silicon prototyping"", ""Emulation systems"", ""Virtual platforms"", ""3GPP"", ""802.11"", ""Bluetooth"", ""Unix/Linux kernel"", ""Mainstream OS development""]","[""Problem-solving"", ""Debugging"", ""Collaboration"", ""Communication""]",10.0,senior
88,"[""Python"", ""C/C++""]","[""Machine Learning""]","[""Problem solving"", ""Debugging"", ""Effective communication""]",,senior
89,"[""Objective-C""]",[],"[""communication"", ""collaboration"", ""product excellence""]",5.0,senior
90,"[""C"", ""C++""]","[""Metal"", ""OpenGL"", ""OpenCL""]","[""Strong communication"", ""Ability to collaborate under pressure""]",3.0,not specified
91,[],"[""L2"", ""L3"", ""MPLS"", ""BGP"", ""Software-defined networking""]","[""Leadership"", ""Communication"", ""Self-starter"", ""Visionary"", ""Collaboration""]",4.0,mid
92,"[""Java"", ""Python"", ""Perl"", ""bash""]","[""Oracle"", ""MongoDB"", ""NoSQL databases"", ""Webmethods Integration server"", ""Ansible"", ""Puppet"", ""HTTP/S"", ""TCP"", ""DNS"", ""SSL/TLS"", ""SSH/SFTP"", ""PKI"", ""X509 certificates"", ""PGP""]",[],,not specified
93,"[""C"", ""Python"", ""Bash"", ""Objective C"", ""C++"", ""Swift""]","[""UNIX"", ""Linux"", ""macOS"", ""iOS"", ""Continuous Integration"", ""Configuration Management""]","[""Creative thinking"", ""Problem solving"", ""Flexibility"", ""Communication skills""]",,not specified
94,"[""C"", ""Objective C"", ""C++""]","[""debugging tools"", ""operating systems""]","[""interpersonal skills"", ""collaboration"", ""creativity"", ""problem solving"", ""attention to detail""]",,not specified
95,"[""C++"", ""Python""]","[""Unix"", ""API Development""]","[""Creative Thinking"", ""Critical Thinking"", ""Independent Thinking"", ""Troubleshooting"", ""Analytical Skills"", ""Communication Skills""]",5.0,senior
96,"[""Java"", ""C"", ""C++""]","[""SQL"", ""NoSQL"", ""Cassandra"", ""HBase"", ""Linux"", ""Multithreading"", ""Event-driven programming""]","[""Analytical skills"", ""Problem solving"", ""Written communication"", ""Interpersonal communication"", ""Aptitude for learning"", ""Project leadership"", ""User-focused mindset"", ""Team collaboration""]",,not specified
97,"[""client side languages"", ""server side languages""]",[],"[""communication"", ""collaboration"", ""team leadership"", ""learning agility""]",5.0,senior
98,"[""Java"", ""SQL"", ""Scala""]","[""Unix"", ""NoSQL"", ""Web Services (Rest & SOAP)"", ""QA automation"", ""Continuous Integration (CI)"", ""Behavior Driven Frameworks (BDD)"", ""DevOps"", ""Machine Learning"", ""Apple hardware and software""]","[""Collaboration"", ""Organizational skills"", ""Written and verbal communication"", ""Self-motivation"", ""Independence"", ""Adaptability to context switching""]",4.0,senior
99,"[""C"", ""C++"", ""Python""]","[""OpenGL"", ""Qt""]","[""Creative thinking"", ""Critical thinking"", ""Independent thinking"", ""Troubleshooting skills"", ""Analytical skills"", ""Social skills""]",3.0,mid
100,"[""C++""]","[""embedded systems"", ""real-time systems"", ""motion sensors"", ""computer vision"", ""augmented reality""]","[""effective communication"", ""attention to detail""]",3.0,mid
101,"[""Swift"", ""Objective-C""]","[""iOS"", ""MacOS"", ""App Store""]","[""User Experience Design"", ""Documentation""]",,not specified
102,"[""C"", ""Objective-C"", ""Swift""]","[""UIKit"", ""Core Animation""]","[""Analytical and problem-solving skills"", ""Written and verbal interpersonal skills"", ""Ability to thrive in a multi-functional team""]",,not specified
103,"[""Java"", ""C/C++"", ""Python""]","[""Tensorflow"", ""Keras"", ""Caffe"", ""Hadoop"", ""Spark"", ""Cassandra""]","[""Excellent writing"", ""Interpersonal skills"", ""Attention to detail"", ""Adaptability"", ""Results oriented"", ""Passion and dedication""]",,not specified
104,[],[],"[""Customer Focused"", ""Cross-functional communication"", ""Influencing"", ""Team Building"", ""Motivation"", ""Flexibility"", ""Technical Agility"", ""Executive Presence""]",5.0,senior
105,"[""JavaScript""]",[],"[""Problem-solving"", ""Teamwork"", ""Adaptability"", ""Positive attitude"", ""Independence""]",,not specified
106,[],"[""network and web testing tools"", ""iOS"", ""macOS"", ""Microsoft Windows""]","[""Creative thinking"", ""Problem solving"", ""Strong communication skills"", ""Attention to detail"", ""Adaptability""]",,not specified
107,"[""Python"", ""PERL"", ""Bash""]","[""QA methodologies"", ""Hardware/Software Development Life Cycle""]","[""Customer-focused"", ""Quick learner"", ""Adaptability"", ""Solid debugging"", ""Excellent communication"", ""Detail oriented"", ""Data-driven decision making""]",,not specified
108,"[""Java"", ""JavaScript"", ""Python"", ""Node.js""]","[""REST"", ""SOAP"", ""XML"", ""JSON"", ""OpenAPI"", ""J2EE"", ""NGINX"", ""Cassandra"", ""Linux Administration"", ""Git"", ""Chef"", ""Puppet"", ""Maven"", ""Ansible"", ""Druid"", ""Elastic"", ""Hadoop"", ""Spark"", ""Hive"", ""Impala"", ""React JS"", ""HTML4/5"", ""CSS3"", ""AJAX"", ""jQuery""]",[],10.0,senior
109,"[""Java""]","[""Spark"", ""HDFS"", ""Hive"", ""ORC"", ""Presto"", ""Netty""]","[""Analytical skills"", ""Critical thinking"", ""Interpersonal skills"", ""Process improvement"", ""Communication skills"", ""Teamwork"", ""Leadership"", ""Time management"", ""Mentoring""]",,senior
110,"[""Python"", ""Ruby"", ""JavaScript"", ""Swift""]","[""QA methodologies"", ""test planning"", ""scheduling"", ""regression testing""]","[""Analytical thinking"", ""Communication"", ""Problem-solving"", ""Innovation""]",3.0,not specified
111,"[""C"", ""C++""]","[""JTAG"", ""hardware simulation"", ""processor simulation"", ""embedded device drivers""]","[""creative thinking"", ""critical thinking"", ""troubleshooting""]",7.0,senior
112,"[""Python"", ""C/C++""]","[""Machine Learning""]","[""Problem Solving"", ""Debugging"", ""Communication""]",,not specified
