id,location,programming_languages,tools_and_technologies,years_experience_min,experience_level
222,North America,"Swift, Python, Other","Cloud Computing, Mobile Development, Software Development, Networking, Other",3,mid
223,North America,C++,"Software Development, Other",3,mid
224,Asia,Other,"Software Development, Other",3,not specified
225,North America,"Swift, C++, Other","Software Development, Networking, Other",,not specified
226,Asia,"Shell, Other","Software Development, Other",3,mid
227,North America,"JavaScript, Swift, C++, Other","DevOps, Mobile Development, Cybersecurity, Web Development, Other",5,senior
228,North America,Java,"Data Analytics, Database Management, Cloud Computing, Software Development, Other",5,senior
229,North America,"C++, Other","Software Development, Other",4,not specified
230,North America,"C++, Other","Software Development, Other",5,senior
231,North America,"Swift, Other","Mobile Development, Other",,mid
232,North America,"C++, Java","Machine Learning/Artificial Intelligence, Software Development",1,junior
233,North America,"Python, Other",Software Development,,not specified
234,North America,"JavaScript, Java","Web Development, Software Development, Database Management",,not specified
235,North America,Other,"Web Development, Software Development, Other",,not specified
236,Europe,"Swift, Python, Perl, Ruby, C++, Other","Mobile Development, Software Development, Other",,not specified
237,North America,"Python, Scala, Java","Data Analytics, Cloud Computing, Database Management",,not specified
238,North America,"Shell, Go, C++, Python","Machine Learning/Artificial Intelligence, Cloud Computing, Software Development, Networking, Other",,not specified
239,North America,"C++, Other","Networking, Other",,not specified
240,North America,"Swift, C++, Python, Other","Software Development, Networking, Other",8,senior
241,North America,"C++, Other",Other,,mid
242,North America,Other,"Internet of Things (IoT), Software Development, Other",5,senior
243,North America,"C++, Other","DevOps, Software Development, Cybersecurity",5,senior
244,North America,"Python, C++, Perl, Other","Data Analytics, Software Development, Database Management, Other",5,senior
245,North America,"Python, C++, Other",Machine Learning/Artificial Intelligence,4,senior
246,Europe,"Swift, Other","Software Development, Database Management, Other",,not specified
247,North America,,"Cloud Computing, Software Development, Other",,not specified
248,North America,"Python, C++, Other",,,not specified
249,North America,"Perl, Java","Web Development, Software Development, Database Management, Other",,senior
250,North America,"Python, C++, Perl, Other","Internet of Things (IoT), DevOps, Software Development, Other",3,mid
251,North America,Other,"Software Development, Other",,not specified
252,North America,"Python, Shell, C++, Other","Database Management, Cloud Computing, Software Development, Web Development, Other",3,mid
253,Asia,Other,"Internet of Things (IoT), Other",3,not specified
254,Europe,"Ruby, Python, Shell","DevOps, Cloud Computing, Software Development, Web Development, Other",,not specified
255,North America,"JavaScript, Swift, C++, Other","DevOps, Mobile Development, Cybersecurity, Web Development, Other",5,senior
256,Europe,"C++, Other","Cloud Computing, Software Development, Networking, Other",3,not specified
257,Asia,"C++, Other",Other,2,not specified
258,North America,"Python, C++, Perl, Other","Software Development, Other",,not specified
259,North America,C++,"AR/VR (Augmented Reality/Virtual Reality), Other",4,mid
260,Asia,"Python, Other","DevOps, Software Development",3,not specified
261,North America,"C++, Java, Other","Software Development, Networking",,not specified
262,North America,C++,"Software Development, Other",,not specified
263,Asia,Other,"Web Development, Software Development",5,senior
264,North America,"JavaScript, C++, Other","Web Development, Other",2,mid
265,North America,,"Software Development, Other",,not specified
266,North America,,"Software Development, Other",5,senior
267,North America,"C++, Other","Networking, Other",2,mid
268,North America,Other,,5,senior
269,North America,Other,"Software Development, Other",5,senior
270,North America,"Shell, Python, C++, Other","Software Development, Networking, Other",5,senior
271,North America,"C++, Java",Machine Learning/Artificial Intelligence,1,junior
272,North America,JavaScript,Web Development,,not specified
273,North America,,,,not specified
274,North America,"Swift, Other",Software Development,,not specified
275,North America,Java,Web Development,,senior
276,North America,"C++, Java",Machine Learning/Artificial Intelligence,3,mid
277,North America,"Python, C++, Other",Software Development,,not specified
278,Asia,"Python, C++, Other",Other,,not specified
279,Europe,"Java, Python, Swift, Go, C++, Other","Data Analytics, DevOps, Database Management, Cloud Computing, Networking, Other",,senior
280,North America,"Python, Other",Software Development,,not specified
281,North America,"JavaScript, Swift, Other","Mobile Development, Other",,not specified
282,North America,"C++, Other",Other,,not specified
283,North America,"Swift, Other","Web Development, Human-Computer Interaction, Mobile Development, Other",,not specified
284,North America,"C++, Other","Software Development, Mobile Development, Other",5,senior
285,Europe,,Software Development,,not specified
286,North America,Java,"Networking, Database Management, Other",,senior
287,Europe,"JavaScript, Scala, Java, Python, C++","Cloud Computing, Software Development, Machine Learning/Artificial Intelligence",,not specified
288,North America,"JavaScript, Java, Swift, TypeScript, C++, Other","Web Development, Mobile Development",,not specified
289,North America,"Swift, C++, Other","Other, AR/VR (Augmented Reality/Virtual Reality), Mobile Development",5,senior
290,Europe,"C++, Other",Other,,not specified
291,Europe,"C++, Other","Cloud Computing, Software Development, Other",5,senior
292,North America,"Swift, C++, Other","Data Analytics, Software Development, Other",,not specified
293,North America,"Python, Shell, Perl, C++, Other","DevOps, Software Development, Other",,not specified
294,North America,"C++, Java","Data Analytics, Cloud Computing, AR/VR (Augmented Reality/Virtual Reality), Software Development, Ot",,not specified
295,North America,Java,"Web Development, Database Management",7,senior
296,North America,C++,Other,5,senior
297,North America,"Python, C++, Swift, Other","Software Development, Networking",,not specified
298,North America,"Shell, C++, Other","Data Analytics, Software Development, Other",8,senior
299,North America,"Python, Go","Database Management, Other",,not specified
300,North America,"Python, C++, R, Other","Software Development, Database Management",,senior
301,North America,"Java, Python, Shell, Perl, Other","Cybersecurity, Software Development, Database Management, Other",,not specified
302,North America,"JavaScript, Java, Python, TypeScript, Go","Cloud Computing, Software Development, Networking, Other",,not specified
303,North America,"JavaScript, Scala, Java, Perl, Shell, Python, Ruby, Other","Data Analytics, DevOps, Database Management, Software Development, Web Development, Other",,not specified
304,North America,"Python, C++, Other","Software Development, Other",,not specified
305,North America,"JavaScript, Other","Web Development, Software Development, Other",2,mid
306,Asia,Other,Software Development,3,mid
307,North America,"C++, Other","Software Development, Other",,not specified
308,Asia,Java,Web Development,,mid
309,North America,,Other,,not specified
310,North America,Java,Web Development,3,mid
311,North America,"JavaScript, Swift, Other","Mobile Development, Other",,not specified
312,North America,"C++, Other",Other,,not specified
313,North America,"Python, C++, Other",DevOps,,mid
314,North America,"C++, Other",Software Development,,not specified
315,North America,"JavaScript, Python, Swift","Cloud Computing, Mobile Development, Software Development, Web Development, Other",,not specified
316,North America,"Swift, C++, Other","Data Analytics, Database Management, Networking, Other",5,senior
317,North America,C++,"Internet of Things (IoT), Other, Mobile Development",,not specified
318,North America,"C++, Other","AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
319,North America,Java,"Web Development, Other, Database Management, Cybersecurity",8,senior
320,North America,,"Data Analytics, Software Development, Mobile Development",,not specified
321,Asia,,"Software Development, Other",,senior
322,North America,"JavaScript, Swift, Shell, Python, Other","Software Development, Other",,not specified
323,North America,,"Web Development, Cloud Computing, Software Development, Mobile Development",,not specified
324,North America,"Swift, Other","Software Development, Other",5,senior
325,North America,"JavaScript, Python","Other, Software Development, Mobile Development",,not specified
326,North America,"Other, Java","Data Analytics, Database Management, Cloud Computing, Software Development, Web Development, Network",5,senior
327,North America,"JavaScript, Scala, Java, Other","Web Development, Human-Computer Interaction, Software Development, Other",,not specified
328,North America,Other,Software Development,3,mid
329,North America,Java,"Data Analytics, Machine Learning/Artificial Intelligence, Software Development, Other",3,mid
330,North America,"Perl, Shell, Python, Other","Internet of Things (IoT), Software Development, Other",3,mid
331,North America,Python,Software Development,,not specified
332,Asia,Other,"Internet of Things (IoT), Data Analytics, Software Development, Other",,senior
333,Asia,Other,Software Development,3,not specified
334,North America,Other,"Internet of Things (IoT), Software Development, Other",8,senior
335,North America,"C++, Other",Other,3,mid
336,North America,"Java, Python, Perl, C++, Other","Data Analytics, Database Management, Web Development, Networking, Other",,senior
337,North America,"C++, Java","Web Development, AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
338,Asia,"C++, Other",Software Development,,not specified
339,North America,"Ruby, Python, JavaScript, Other","Human-Computer Interaction, Software Development",,not specified
340,North America,"Python, C++, Other","Software Development, Other",3,mid
341,North America,"Go, Scala, Python, Other","Cloud Computing, Software Development, Other",7,senior
342,North America,Java,"Data Analytics, Cloud Computing",5,senior
343,Asia,Other,"Software Development, Other",,senior
344,North America,"C++, Other",Other,,senior
345,North America,,Other,7,senior
346,North America,C++,"Data Analytics, Other",,not specified
347,North America,"Python, Shell, Perl, C++, Other","Software Development, Other",5,senior
348,North America,"C++, Other","Software Development, Other",2,mid
349,North America,"Scala, Other, Java","DevOps, Cybersecurity, Software Development, Web Development, Other",5,senior
350,Europe,,,,not specified
351,Europe,"Python, C++, Other","Other, Software Development, Cybersecurity",,not specified
352,North America,"Swift, Other","Other, Cloud Computing, Mobile Development",,senior
353,North America,Java,"Data Analytics, Database Management, Cloud Computing, Web Development, Other",5,not specified
354,North America,Java,"Database Management, Mobile Development, Cybersecurity, Software Development, Web Development, Other",8,senior
355,North America,Other,"Machine Learning/Artificial Intelligence, Software Development",,not specified
356,Europe,"Scala, Java",,,senior
357,North America,"JavaScript, Python, C#, Java","Web Development, Cloud Computing, Other",,not specified
358,North America,"C++, Other","Cloud Computing, Software Development, Networking, Other",10,senior
359,North America,"Other, C++, C#, Java","Web Development, Database Management",2,not specified
360,Asia,"Python, Swift, Other, Java","Web Development, DevOps, Software Development, Cybersecurity",5,senior
361,North America,"C++, Other","Other, Software Development, Networking, Cybersecurity",,mid
362,North America,"JavaScript, Scala, PHP, Java, Python, Ruby, C++, Other","Web Development, Data Analytics, Software Development, Database Management",,not specified
363,North America,"Python, C++","Data Analytics, DevOps, Cloud Computing, Software Development, Other",5,senior
364,North America,"Swift, Other","Web Development, Networking, Other",5,senior
365,Europe,Other,"Machine Learning/Artificial Intelligence, Software Development",,not specified
366,North America,"Python, Shell, Other, Java","Data Analytics, Other",3,mid
367,North America,"Scala, Java","Data Analytics, Cloud Computing",,not specified
368,North America,"Python, C++","Cybersecurity, Software Development, Other",3,not specified
369,North America,"Python, C++","Machine Learning/Artificial Intelligence, Other",3,senior
370,North America,"Swift, C++, Other","Other, Software Development, Networking, Mobile Development",5,senior
371,North America,Java,"Web Development, Cybersecurity, Database Management, Other",8,senior
372,Asia,"C++, Other","Data Analytics, Software Development, Networking, Other",3,mid
373,North America,,Other,,not specified
374,North America,"JavaScript, Python, Swift","Web Development, Cloud Computing, Software Development, Mobile Development",,mid
375,North America,,Software Development,,not specified
376,North America,,Other,5,senior
377,North America,Other,Web Development,,not specified
378,North America,"C++, Java","Data Analytics, Machine Learning/Artificial Intelligence, Software Development, Other",,not specified
379,North America,"Java, Swift, Python, Shell, Ruby, C++, Other","DevOps, Cloud Computing, Mobile Development, Software Development, Web Development, Other",3,mid
380,North America,Python,"Networking, Other",2,mid
381,North America,"Scala, Java, Perl, Python, Ruby","DevOps, Software Development, Other",4,mid
382,North America,"JavaScript, Python, Swift","Web Development, Cloud Computing, Software Development, Mobile Development",,not specified
383,North America,Other,"Software Development, Mobile Development",,not specified
384,North America,Other,,,not specified
385,North America,"Java, Python, Shell, Perl, C++, Other","Data Analytics, Database Management, Web Development, Networking, Other",,senior
386,North America,"Swift, Other","Human-Computer Interaction, Other, Software Development, Mobile Development",,not specified
387,North America,Swift,"Software Development, Mobile Development",,not specified
388,North America,"Python, Swift, Other, Java","Web Development, Cybersecurity, DevOps, Other",5,senior
389,North America,"Ruby, Python, Swift, Other","Web Development, Networking, Other",,not specified
390,North America,Java,"Database Management, Software Development, Web Development, Networking, Other",,senior
391,North America,"Java, Python, Ruby, C++, Other","Data Analytics, DevOps, Software Development, Web Development, Other",,senior
392,North America,"JavaScript, Python, Swift","Cloud Computing, Mobile Development, Software Development, Web Development, Other",,not specified
393,North America,,Other,7,senior
394,North America,"Python, C++",Other,,not specified
395,North America,Other,Other,,not specified
396,North America,"JavaScript, Java, Python, TypeScript, Go","Database Management, Cloud Computing, Networking, Other",,not specified
397,North America,"Scala, Java","Data Analytics, Cloud Computing",,not specified
398,North America,"C++, Other","Data Analytics, Machine Learning/Artificial Intelligence, Other",,not specified
399,North America,"JavaScript, Python, Shell","Internet of Things (IoT), Software Development",,not specified
400,North America,"JavaScript, Python, Swift","Web Development, Cloud Computing, Software Development, Mobile Development",,not specified
401,North America,"Python, Other",Software Development,5,senior
402,North America,"Other, C++, Java","DevOps, Software Development, Mobile Development",3,senior
403,North America,"Other, Scala, Java","Web Development, DevOps, Software Development, Other",5,senior
404,North America,"JavaScript, Scala, Java, Python, Shell","DevOps, Software Development",,not specified
405,North America,"Perl, Shell, Python, C++, Other","DevOps, Software Development, Other",,not specified
406,Asia,Python,"Software Development, Database Management",3,not specified
407,North America,,Other,5,senior
408,North America,"C++, Other","AR/VR (Augmented Reality/Virtual Reality), Other",,senior
409,North America,"Swift, C++, Java, Other","Software Development, Networking, Other",,not specified
410,North America,"Ruby, Python, Scala","Data Analytics, DevOps, Database Management, Cloud Computing, Software Development, Other",,not specified
411,North America,Other,"Mobile Development, Software Development, Other",,not specified
412,North America,"JavaScript, Java, Python, Ruby, Other","Software Development, Other",,not specified
413,Europe,,,,not specified
414,North America,Other,"Software Development, Other",,not specified
415,North America,"JavaScript, Other",Web Development,,mid
