id,programming_languages,tools_and_technologies,years_experience_min,experience_level
39,"JavaScript, Swift, Other","Web Development, Software Development, Database Management, Other",3.0,mid
40,"JavaScript, Python, Shell, Other","Other, Software Development, Networking, Mobile Development",,not specified
41,"JavaScript, PHP, Other","Web Development, Data Analytics, Database Management, Other",10.0,senior
42,"Swift, Other","Software Development, Database Management, Other",3.0,mid
43,"JavaScript, TypeScript, Other","Web Development, Database Management",,not specified
44,"Python, Shell, Go, C++, Other","DevOps, Cloud Computing, Software Development, Networking, Other",,not specified
45,"C++, Other","Mobile Development, Other",,not specified
46,"Swift, Other","Other, Mobile Development",,senior
47,,"Software Development, AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
48,Python,"Software Development, Networking, Other",3.0,mid
49,Java,"Database Management, Cloud Computing, Software Development, Web Development, Other",4.0,senior
50,"C++, Other","Software Development, Other",5.0,senior
51,"Swift, Other","Mobile Development, Other",,senior
52,"C++, Other","Web Development, Cybersecurity",10.0,senior
53,"Swift, Other","Cloud Computing, Software Development, Cybersecurity",4.0,senior
54,Other,Web Development,2.0,not specified
55,Other,"Software Development, Other",,not specified
56,"Shell, Python, C++, Java",Networking,8.0,senior
57,"Python, C++, Perl, Other","DevOps, Software Development, Other",3.0,mid
58,"Other, C++, Java","Software Development, Database Management, Other",,not specified
59,"Swift, Other","Software Development, Database Management, Other",3.0,mid
60,Java,"Web Development, Data Analytics",5.0,senior
61,"Swift, C++, Python, Other","Other, Software Development, Networking, Mobile Development",,not specified
62,Python,"Data Analytics, Database Management, Other",5.0,senior
63,Python,DevOps,,not specified
64,"JavaScript, Swift, Other","Web Development, Software Development, Database Management, Other",3.0,mid
65,,,,not specified
66,Java,"DevOps, Database Management, Cloud Computing, Web Development, Other",,not specified
67,Java,"Web Development, Software Development, Database Management, Other",,senior
68,"JavaScript, Python","AR/VR (Augmented Reality/Virtual Reality), Other",5.0,senior
69,"Perl, Python, Go, C++, Other","Software Development, Networking, Other",8.0,senior
70,"C++, Other","DevOps, Database Management, Software Development, Web Development, Other",3.0,not specified
71,"C++, Other","Web Development, Software Development",2.0,mid
72,"Perl, Shell, Python, Swift, C++, Other","Internet of Things (IoT), Software Development, Other",5.0,senior
73,"C++, C#","Software Development, Database Management, Other",,not specified
74,"JavaScript, Python, Perl","Mobile Development, Other",5.0,senior
75,"Swift, Other",Other,,not specified
76,Java,"Web Development, Database Management, Software Development, Networking",5.0,senior
77,Other,"Mobile Development, Other",,mid
78,"Other, C++, Java","Database Management, Other",,not specified
79,"Python, Shell, Perl, Ruby, Other","Software Development, Other",,not specified
80,"JavaScript, PHP, Other","Web Development, Software Development, Database Management",,not specified
81,,"Mobile Development, Software Development, Database Management, Other",,not specified
82,Java,"Web Development, Database Management, Software Development, Networking",5.0,senior
83,"Python, Shell, Other, Java","Web Development, Human-Computer Interaction, Software Development, Database Management",5.0,mid
84,Java,"Web Development, Data Analytics, Networking, Other",,senior
85,"C++, Other","Software Development, Other",,not specified
86,,"DevOps, Cloud Computing, Cybersecurity, Software Development, Web Development",,not specified
87,"C++, Other","Cloud Computing, Software Development, Networking, Other",10.0,senior
88,"Python, C++",Machine Learning/Artificial Intelligence,,senior
89,Other,,5.0,senior
90,"C++, Other",Other,3.0,not specified
91,,"Networking, Other",4.0,mid
92,"Python, Shell, Perl, Java","DevOps, Database Management, Cybersecurity, Web Development, Networking",,not specified
93,"Python, Shell, Swift, C++, Other","DevOps, Software Development, Mobile Development, Other",,not specified
94,"C++, Other",Software Development,,not specified
95,"Python, C++","Web Development, Software Development",5.0,senior
96,"Other, C++, Java","Software Development, Database Management, Other",,not specified
97,Other,,5.0,senior
98,"Other, Scala, Java","DevOps, Database Management, Machine Learning/Artificial Intelligence, Software Development, Web Development, Other",4.0,senior
99,"Python, C++, Other",Other,3.0,mid
100,C++,"Internet of Things (IoT), Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual Reality), Other",3.0,mid
101,"Swift, Other","Other, Mobile Development",,not specified
102,"Swift, Other","Mobile Development, Other",,not specified
103,"Python, C++, Java","Data Analytics, Machine Learning/Artificial Intelligence, Database Management",,not specified
104,,,5.0,senior
105,JavaScript,,,not specified
106,,"Other, Software Development, Mobile Development",,not specified
107,"Python, Shell, Perl",Software Development,,not specified
108,"JavaScript, Python, Java","Data Analytics, DevOps, Database Management, Software Development, Web Development, Other",10.0,senior
109,Java,"Data Analytics, Other",,senior
110,"Ruby, Python, Swift, JavaScript","Software Development, Other",3.0,not specified
111,"C++, Other","Software Development, Other",7.0,senior
112,"Python, C++",Machine Learning/Artificial Intelligence,,not specified
113,"JavaScript, Python, Swift, Ruby, C++, Other","DevOps, Other",3.0,mid
114,"JavaScript, TypeScript, C++",Web Development,,not specified
115,"C++, Other","Web Development, Software Development, AR/VR (Augmented Reality/Virtual Reality), Other",6.0,senior
116,"C++, C#","Software Development, Database Management, Other",,not specified
117,"Python, Swift, Java","Other, Cloud Computing, Mobile Development",6.0,senior
118,"Python, Shell, Perl, Ruby, C++, Other","Software Development, Other",,not specified
119,"Python, Shell, Swift, C++, Other","DevOps, Software Development, Mobile Development, Other",,not specified
120,Other,Software Development,,not specified
121,"Python, C++, Other","Cybersecurity, Software Development, Networking, Other",3.0,mid
122,"C++, Other","Software Development, Networking, Other",2.0,mid
123,C++,Internet of Things (IoT),3.0,mid
124,"Shell, Python, C++, Java","Data Analytics, Software Development, Networking, Other",8.0,senior
125,"Other, C++, Java","Database Management, Other",,senior
126,"Python, Java","Data Analytics, Database Management",10.0,senior
127,"C++, Other","Machine Learning/Artificial Intelligence, Software Development, AR/VR (Augmented Reality/Virtual Reality), Other",3.0,mid
128,,,,not specified
129,,"Software Development, Other",,senior
130,"Java, Perl, Shell, Python, Other","Cybersecurity, Software Development, Other",,not specified
131,"Swift, Other","Data Analytics, Machine Learning/Artificial Intelligence",,not specified
132,"JavaScript, PHP, Other","Web Development, Software Development, Database Management",,not specified
133,"JavaScript, Python, C++, Other","Other, Software Development, Networking, Mobile Development",,mid
134,"Python, Swift, C++, Other","Software Development, Other",,not specified
135,,,,not specified
136,,,,not specified
137,"C++, Other",Software Development,,not specified
138,C++,"Internet of Things (IoT), Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual Reality), Other",3.0,mid
139,"JavaScript, Swift, Java, Other","Other, Mobile Development",,not specified
140,"Python, C++, Perl, Other","Software Development, Other",,not specified
141,"Python, Other","DevOps, Software Development",3.0,mid
142,"Swift, C++, Python, Other","Other, Software Development, Mobile Development",,not specified
143,Java,"Web Development, Database Management, Other",5.0,senior
144,"Other, Java","Web Development, Software Development, Database Management, Other",5.0,mid
145,"C++, Other","Internet of Things (IoT), Networking, Other",5.0,senior
146,C++,"Web Development, Software Development, Other",,not specified
147,"Python, C++, Java","Web Development, Cloud Computing",5.0,senior
148,"Other, C++, Java","Web Development, Software Development",5.0,senior
149,"Python, Other",Other,,not specified
150,Other,"Cybersecurity, Software Development, Other",,not specified
151,"Swift, C++, Other","Other, Mobile Development",,not specified
152,"JavaScript, Python, Perl, Go, C++, Other","Networking, Software Development, Mobile Development, Other",3.0,mid
153,Java,"Web Development, Other",,senior
154,Other,,,not specified
155,"C++, Other","Internet of Things (IoT), Networking, Other",5.0,senior
156,Java,"Networking, Database Management, Other",,senior
157,"Python, C++, Other",,,not specified
158,,,,not specified
159,"JavaScript, Java, Swift, Python, Other","Other, Software Development, Mobile Development",3.0,mid
160,Other,"Software Development, Other",,not specified
161,"Python, C++","Software Development, Other",3.0,senior
162,"C++, Other","Machine Learning/Artificial Intelligence, Software Development, Other",,senior
163,Java,"Web Development, Software Development",,not specified
164,"Swift, C++","Mobile Development, Other",3.0,mid
165,"Other, Java","Database Management, Cybersecurity, Software Development, Web Development, Other",,senior
166,Other,"DevOps, Software Development, Other",5.0,senior
167,Other,"Cloud Computing, Software Development, Other",,not specified
168,Other,"Web Development, Software Development, Other",3.0,mid
169,"Python, R","Data Analytics, Database Management",2.0,mid
170,Java,"Web Development, Software Development, Networking, Other",5.0,senior
171,"C++, Other",Other,,not specified
172,"C++, Other","Internet of Things (IoT), Networking, Other",3.0,mid
173,"C++, Other","Networking, Other",,not specified
174,,"Web Development, Data Analytics, Cloud Computing, Database Management",5.0,senior
175,"Swift, Other","Web Development, Software Development, Cybersecurity",2.0,mid
176,"JavaScript, TypeScript","Web Development, DevOps, Database Management, Other",3.0,mid
177,"C++, Other",Software Development,6.0,senior
178,"C++, Other","Internet of Things (IoT), Networking, Other",5.0,senior
179,,,,not specified
180,,"Software Development, Other",5.0,senior
181,"Python, Shell, Perl, C++, Other","Software Development, Other",,not specified
182,"Python, C++, Other","DevOps, Software Development, Machine Learning/Artificial Intelligence, Other",7.0,senior
183,"Python, C++, Other","Mobile Development, Software Development, Other",3.0,mid
184,"Shell, Other","Other, Mobile Development",3.0,not specified
185,"Python, C++, Perl, Other","Software Development, Other",,not specified
186,"JavaScript, Python, Shell","Internet of Things (IoT), Software Development",,not specified
187,"Perl, Shell, Python","Software Development, Other",3.0,not specified
188,Java,"Web Development, Software Development",,not specified
189,"Ruby, Python, PHP","Data Analytics, DevOps, Database Management, Cloud Computing, Web Development, Other",5.0,senior
190,,"Cloud Computing, Software Development",,mid
191,"JavaScript, Java, Python, Ruby, C++, Other","Web Development, Database Management",,not specified
192,"Other, Java","Database Management, Cybersecurity, Software Development, Web Development, Other",,senior
193,,"Networking, Other",3.0,not specified
194,"Ruby, Python, Shell, Java",Software Development,3.0,mid
195,Java,"Data Analytics, Database Management, Cloud Computing, Software Development, Other",5.0,senior
196,"JavaScript, Python, Shell, Other",Software Development,,not specified
197,"Python, C++",Software Development,4.0,mid
198,"JavaScript, PHP, Python, Perl, Ruby, Other","Web Development, Cloud Computing, Database Management, Other",3.0,not specified
199,"Python, C++, Swift, Other","Machine Learning/Artificial Intelligence, Software Development, DevOps, Other",,not specified
200,Other,"Other, Machine Learning/Artificial Intelligence, Networking, Mobile Development",,not specified
201,"Python, Scala, Java","Data Analytics, Database Management, Cloud Computing, Web Development, Other",3.0,mid
202,"C++, Other","Software Development, Mobile Development",,not specified
203,,Networking,5.0,senior
204,"Python, Swift, Other, Java","DevOps, Database Management, Cybersecurity, Software Development, Web Development, Other",5.0,senior
205,,"Software Development, Other",7.0,senior
206,"C++, Other","Networking, Other",,not specified
207,"C++, Other",Software Development,6.0,senior
208,"Scala, Java, Python, Ruby, C++","Software Development, Other",4.0,mid
209,"C++, Other",Other,,not specified
210,"C++, Other","Other, Mobile Development",6.0,senior
211,"C++, Other","Software Development, Networking, Other",3.0,mid
212,"C++, Java","Cloud Computing, Software Development, Other",8.0,senior
213,"Python, C++","Data Analytics, Machine Learning/Artificial Intelligence",,not specified
214,"Swift, Python, Perl, Ruby, C++, Other","Mobile Development, Software Development, Other",,not specified
215,"Python, Scala, Java","Data Analytics, Cloud Computing, Database Management",,not specified
216,"Perl, Java","Web Development, Software Development, Database Management, Other",,not specified
217,,,5.0,senior
218,Python,"Software Development, Other",,not specified
219,Java,Web Development,,not specified
220,"Perl, Shell, Python, Go, C++, Other","Other, Software Development, Networking, Cybersecurity",8.0,senior
221,"Swift, C++, Other","Web Development, Other",,not specified
222,"Swift, Python, Other","Cloud Computing, Mobile Development, Software Development, Networking, Other",3.0,mid
223,C++,"Software Development, Other",3.0,mid
224,Other,"Software Development, Other",3.0,not specified
225,"Swift, C++, Other","Software Development, Networking, Other",,not specified
226,"Shell, Other","Software Development, Other",3.0,mid
227,"JavaScript, Swift, C++, Other","DevOps, Mobile Development, Cybersecurity, Web Development, Other",5.0,senior
228,Java,"Data Analytics, Database Management, Cloud Computing, Software Development, Other",5.0,senior
229,"C++, Other","Software Development, Other",4.0,not specified
230,"C++, Other","Software Development, Other",5.0,senior
231,"Swift, Other","Mobile Development, Other",,mid
232,"C++, Java","Machine Learning/Artificial Intelligence, Software Development",1.0,junior
233,"Python, Other",Software Development,,not specified
234,"JavaScript, Java","Web Development, Software Development, Database Management",,not specified
235,Other,"Web Development, Software Development, Other",,not specified
236,"Swift, Python, Perl, Ruby, C++, Other","Mobile Development, Software Development, Other",,not specified
237,"Python, Scala, Java","Data Analytics, Cloud Computing, Database Management",,not specified
238,"Shell, Go, C++, Python","Machine Learning/Artificial Intelligence, Cloud Computing, Software Development, Networking, Other",,not specified
239,"C++, Other","Networking, Other",,not specified
240,"Swift, C++, Python, Other","Software Development, Networking, Other",8.0,senior
241,"C++, Other",Other,,mid
242,Other,"Internet of Things (IoT), Software Development, Other",5.0,senior
243,"C++, Other","DevOps, Software Development, Cybersecurity",5.0,senior
244,"Python, C++, Perl, Other","Data Analytics, Software Development, Database Management, Other",5.0,senior
245,"Python, C++, Other",Machine Learning/Artificial Intelligence,4.0,senior
246,"Swift, Other","Software Development, Database Management, Other",,not specified
247,,"Cloud Computing, Software Development, Other",,not specified
248,"Python, C++, Other",,,not specified
249,"Perl, Java","Web Development, Software Development, Database Management, Other",,senior
250,"Python, C++, Perl, Other","Internet of Things (IoT), DevOps, Software Development, Other",3.0,mid
251,Other,"Software Development, Other",,not specified
252,"Python, Shell, C++, Other","Database Management, Cloud Computing, Software Development, Web Development, Other",3.0,mid
253,Other,"Internet of Things (IoT), Other",3.0,not specified
254,"Ruby, Python, Shell","DevOps, Cloud Computing, Software Development, Web Development, Other",,not specified
255,"JavaScript, Swift, C++, Other","DevOps, Mobile Development, Cybersecurity, Web Development, Other",5.0,senior
256,"C++, Other","Cloud Computing, Software Development, Networking, Other",3.0,not specified
257,"C++, Other",Other,2.0,not specified
258,"Python, C++, Perl, Other","Software Development, Other",,not specified
259,C++,"AR/VR (Augmented Reality/Virtual Reality), Other",4.0,mid
260,"Python, Other","DevOps, Software Development",3.0,not specified
261,"C++, Java, Other","Software Development, Networking",,not specified
262,C++,"Software Development, Other",,not specified
263,Other,"Web Development, Software Development",5.0,senior
264,"JavaScript, C++, Other","Web Development, Other",2.0,mid
265,,"Software Development, Other",,not specified
266,,"Software Development, Other",5.0,senior
267,"C++, Other","Networking, Other",2.0,mid
268,Other,,5.0,senior
269,Other,"Software Development, Other",5.0,senior
270,"Shell, Python, C++, Other","Software Development, Networking, Other",5.0,senior
271,"C++, Java",Machine Learning/Artificial Intelligence,1.0,junior
272,JavaScript,Web Development,,not specified
273,,,,not specified
274,"Swift, Other",Software Development,,not specified
275,Java,Web Development,,senior
276,"C++, Java",Machine Learning/Artificial Intelligence,3.0,mid
277,"Python, C++, Other",Software Development,,not specified
278,"Python, C++, Other",Other,,not specified
279,"Java, Python, Swift, Go, C++, Other","Data Analytics, DevOps, Database Management, Cloud Computing, Networking, Other",,senior
280,"Python, Other",Software Development,,not specified
281,"JavaScript, Swift, Other","Mobile Development, Other",,not specified
282,"C++, Other",Other,,not specified
283,"Swift, Other","Web Development, Human-Computer Interaction, Mobile Development, Other",,not specified
284,"C++, Other","Software Development, Mobile Development, Other",5.0,senior
285,,Software Development,,not specified
286,Java,"Networking, Database Management, Other",,senior
287,"JavaScript, Scala, Java, Python, C++","Cloud Computing, Software Development, Machine Learning/Artificial Intelligence",,not specified
288,"JavaScript, Java, Swift, TypeScript, C++, Other","Web Development, Mobile Development",,not specified
289,"Swift, C++, Other","Other, AR/VR (Augmented Reality/Virtual Reality), Mobile Development",5.0,senior
290,"C++, Other",Other,,not specified
291,"C++, Other","Cloud Computing, Software Development, Other",5.0,senior
292,"Swift, C++, Other","Data Analytics, Software Development, Other",,not specified
293,"Python, Shell, Perl, C++, Other","DevOps, Software Development, Other",,not specified
294,"C++, Java","Data Analytics, Cloud Computing, AR/VR (Augmented Reality/Virtual Reality), Software Development, Other",,not specified
295,Java,"Web Development, Database Management",7.0,senior
296,C++,Other,5.0,senior
297,"Python, C++, Swift, Other","Software Development, Networking",,not specified
298,"Shell, C++, Other","Data Analytics, Software Development, Other",8.0,senior
299,"Python, Go","Database Management, Other",,not specified
300,"Python, C++, R, Other","Software Development, Database Management",,senior
301,"Java, Python, Shell, Perl, Other","Cybersecurity, Software Development, Database Management, Other",,not specified
302,"JavaScript, Java, Python, TypeScript, Go","Cloud Computing, Software Development, Networking, Other",,not specified
303,"JavaScript, Scala, Java, Perl, Shell, Python, Ruby, Other","Data Analytics, DevOps, Database Management, Software Development, Web Development, Other",,not specified
304,"Python, C++, Other","Software Development, Other",,not specified
305,"JavaScript, Other","Web Development, Software Development, Other",2.0,mid
306,Other,Software Development,3.0,mid
307,"C++, Other","Software Development, Other",,not specified
308,Java,Web Development,,mid
309,,Other,,not specified
310,Java,Web Development,3.0,mid
311,"JavaScript, Swift, Other","Mobile Development, Other",,not specified
312,"C++, Other",Other,,not specified
313,"Python, C++, Other",DevOps,,mid
314,"C++, Other",Software Development,,not specified
315,"JavaScript, Python, Swift","Cloud Computing, Mobile Development, Software Development, Web Development, Other",,not specified
316,"Swift, C++, Other","Data Analytics, Database Management, Networking, Other",5.0,senior
317,C++,"Internet of Things (IoT), Other, Mobile Development",,not specified
318,"C++, Other","AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
319,Java,"Web Development, Other, Database Management, Cybersecurity",8.0,senior
320,,"Data Analytics, Software Development, Mobile Development",,not specified
321,,"Software Development, Other",,senior
322,"JavaScript, Swift, Shell, Python, Other","Software Development, Other",,not specified
323,,"Web Development, Cloud Computing, Software Development, Mobile Development",,not specified
324,"Swift, Other","Software Development, Other",5.0,senior
325,"JavaScript, Python","Other, Software Development, Mobile Development",,not specified
326,"Other, Java","Data Analytics, Database Management, Cloud Computing, Software Development, Web Development, Networking, Other",5.0,senior
327,"JavaScript, Scala, Java, Other","Web Development, Human-Computer Interaction, Software Development, Other",,not specified
328,Other,Software Development,3.0,mid
329,Java,"Data Analytics, Machine Learning/Artificial Intelligence, Software Development, Other",3.0,mid
330,"Perl, Shell, Python, Other","Internet of Things (IoT), Software Development, Other",3.0,mid
331,Python,Software Development,,not specified
332,Other,"Internet of Things (IoT), Data Analytics, Software Development, Other",,senior
333,Other,Software Development,3.0,not specified
334,Other,"Internet of Things (IoT), Software Development, Other",8.0,senior
335,"C++, Other",Other,3.0,mid
336,"Java, Python, Perl, C++, Other","Data Analytics, Database Management, Web Development, Networking, Other",,senior
337,"C++, Java","Web Development, AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
338,"C++, Other",Software Development,,not specified
339,"Ruby, Python, JavaScript, Other","Human-Computer Interaction, Software Development",,not specified
340,"Python, C++, Other","Software Development, Other",3.0,mid
341,"Go, Scala, Python, Other","Cloud Computing, Software Development, Other",7.0,senior
342,Java,"Data Analytics, Cloud Computing",5.0,senior
343,Other,"Software Development, Other",,senior
344,"C++, Other",Other,,senior
345,,Other,7.0,senior
346,C++,"Data Analytics, Other",,not specified
347,"Python, Shell, Perl, C++, Other","Software Development, Other",5.0,senior
348,"C++, Other","Software Development, Other",2.0,mid
349,"Scala, Other, Java","DevOps, Cybersecurity, Software Development, Web Development, Other",5.0,senior
350,,,,not specified
351,"Python, C++, Other","Other, Software Development, Cybersecurity",,not specified
352,"Swift, Other","Other, Cloud Computing, Mobile Development",,senior
353,Java,"Data Analytics, Database Management, Cloud Computing, Web Development, Other",5.0,not specified
354,Java,"Database Management, Mobile Development, Cybersecurity, Software Development, Web Development, Other",8.0,senior
355,Other,"Machine Learning/Artificial Intelligence, Software Development",,not specified
356,"Scala, Java",,,senior
357,"JavaScript, Python, C#, Java","Web Development, Cloud Computing, Other",,not specified
358,"C++, Other","Cloud Computing, Software Development, Networking, Other",10.0,senior
359,"Other, C++, C#, Java","Web Development, Database Management",2.0,not specified
360,"Python, Swift, Other, Java","Web Development, DevOps, Software Development, Cybersecurity",5.0,senior
361,"C++, Other","Other, Software Development, Networking, Cybersecurity",,mid
362,"JavaScript, Scala, PHP, Java, Python, Ruby, C++, Other","Web Development, Data Analytics, Software Development, Database Management",,not specified
363,"Python, C++","Data Analytics, DevOps, Cloud Computing, Software Development, Other",5.0,senior
364,"Swift, Other","Web Development, Networking, Other",5.0,senior
365,Other,"Machine Learning/Artificial Intelligence, Software Development",,not specified
366,"Python, Shell, Other, Java","Data Analytics, Other",3.0,mid
367,"Scala, Java","Data Analytics, Cloud Computing",,not specified
368,"Python, C++","Cybersecurity, Software Development, Other",3.0,not specified
369,"Python, C++","Machine Learning/Artificial Intelligence, Other",3.0,senior
370,"Swift, C++, Other","Other, Software Development, Networking, Mobile Development",5.0,senior
371,Java,"Web Development, Cybersecurity, Database Management, Other",8.0,senior
372,"C++, Other","Data Analytics, Software Development, Networking, Other",3.0,mid
373,,Other,,not specified
374,"JavaScript, Python, Swift","Web Development, Cloud Computing, Software Development, Mobile Development",,mid
375,,Software Development,,not specified
376,,Other,5.0,senior
377,Other,Web Development,,not specified
378,"C++, Java","Data Analytics, Machine Learning/Artificial Intelligence, Software Development, Other",,not specified
379,"Java, Swift, Python, Shell, Ruby, C++, Other","DevOps, Cloud Computing, Mobile Development, Software Development, Web Development, Other",3.0,mid
380,Python,"Networking, Other",2.0,mid
381,"Scala, Java, Perl, Python, Ruby","DevOps, Software Development, Other",4.0,mid
382,"JavaScript, Python, Swift","Web Development, Cloud Computing, Software Development, Mobile Development",,not specified
383,Other,"Software Development, Mobile Development",,not specified
384,Other,,,not specified
385,"Java, Python, Shell, Perl, C++, Other","Data Analytics, Database Management, Web Development, Networking, Other",,senior
386,"Swift, Other","Human-Computer Interaction, Other, Software Development, Mobile Development",,not specified
387,Swift,"Software Development, Mobile Development",,not specified
388,"Python, Swift, Other, Java","Web Development, Cybersecurity, DevOps, Other",5.0,senior
389,"Ruby, Python, Swift, Other","Web Development, Networking, Other",,not specified
390,Java,"Database Management, Software Development, Web Development, Networking, Other",,senior
391,"Java, Python, Ruby, C++, Other","Data Analytics, DevOps, Software Development, Web Development, Other",,senior
392,"JavaScript, Python, Swift","Cloud Computing, Mobile Development, Software Development, Web Development, Other",,not specified
393,,Other,7.0,senior
394,"Python, C++",Other,,not specified
395,Other,Other,,not specified
396,"JavaScript, Java, Python, TypeScript, Go","Database Management, Cloud Computing, Networking, Other",,not specified
397,"Scala, Java","Data Analytics, Cloud Computing",,not specified
398,"C++, Other","Data Analytics, Machine Learning/Artificial Intelligence, Other",,not specified
399,"JavaScript, Python, Shell","Internet of Things (IoT), Software Development",,not specified
400,"JavaScript, Python, Swift","Web Development, Cloud Computing, Software Development, Mobile Development",,not specified
401,"Python, Other",Software Development,5.0,senior
402,"Other, C++, Java","DevOps, Software Development, Mobile Development",3.0,senior
403,"Other, Scala, Java","Web Development, DevOps, Software Development, Other",5.0,senior
404,"JavaScript, Scala, Java, Python, Shell","DevOps, Software Development",,not specified
405,"Perl, Shell, Python, C++, Other","DevOps, Software Development, Other",,not specified
406,Python,"Software Development, Database Management",3.0,not specified
407,,Other,5.0,senior
408,"C++, Other","AR/VR (Augmented Reality/Virtual Reality), Other",,senior
409,"Swift, C++, Java, Other","Software Development, Networking, Other",,not specified
410,"Ruby, Python, Scala","Data Analytics, DevOps, Database Management, Cloud Computing, Software Development, Other",,not specified
411,Other,"Mobile Development, Software Development, Other",,not specified
412,"JavaScript, Java, Python, Ruby, Other","Software Development, Other",,not specified
413,,,,not specified
414,Other,"Software Development, Other",,not specified
415,"JavaScript, Other",Web Development,,mid
416,"Scala, Java","Data Analytics, Cloud Computing, Database Management, Other",2.0,mid
417,,"Data Analytics, Software Development, Mobile Development",,senior
418,"Swift, C++, Other","Software Development, Other",,not specified
419,"Scala, Java","Data Analytics, Database Management, Cloud Computing, Software Development, Web Development",5.0,senior
420,"Python, C++, Other","DevOps, Software Development",5.0,senior
421,"JavaScript, Java","DevOps, Database Management, Software Development, Web Development, Other",,not specified
422,,"Cybersecurity, Software Development, Web Development, Networking, Other",,not specified
423,"JavaScript, Other, Java","Other, Data Analytics, Software Development, Mobile Development",5.0,not specified
424,"JavaScript, Java","DevOps, Database Management, Software Development, Web Development, Other",,not specified
425,"JavaScript, Other, Java","Mobile Development, Software Development, Other",1.0,not specified
426,"JavaScript, Swift, Python","Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual Reality), Mobile Development, Software Development, Other",3.0,mid
427,,,2.0,mid
428,"Swift, C++, Java, Other","Software Development, Mobile Development",,not specified
429,Java,"DevOps, Database Management, Cloud Computing, Web Development, Other",,not specified
430,"JavaScript, Other","Web Development, Other",5.0,senior
431,,"Networking, Other",5.0,senior
432,"C++, Other","Software Development, Other",,not specified
433,"Java, Python, Ruby, C++, Other","Web Development, Other",,senior
434,"JavaScript, Swift, C++, Other",,,not specified
435,"C++, Other","Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
436,"Scala, Java, Python, Ruby, Go, C++","Data Analytics, Database Management, Cloud Computing, Machine Learning/Artificial Intelligence, Software Development, Other",5.0,senior
437,Java,"Data Analytics, Database Management, Cloud Computing, Web Development, Other",5.0,senior
438,"Python, Java","Data Analytics, Other",,senior
439,Java,Web Development,3.0,mid
440,"JavaScript, Java","DevOps, Database Management, Software Development, Web Development, Other",,not specified
